Release 9.1i - par J.30
Copyright (c) 1995-2007 Xilinx, Inc.  All rights reserved.

Wed Dec 04 17:43:34 2013


INFO: The IO information is provided in three file formats as part of the Place and Route (PAR) process.  These formats are:
1. The <design name>_pad.txt file (this file) designed to provide information on IO usage in a human readable ASCII text format viewable through common text editors.
2. The <design namd>_pad.csv file for use with spreadsheet programs such as MS Excel. This file can also be read by PACE to communicate post PAR IO information.
3. The <design name>.pad file designed for parsing by customers.  It uses the "|" as a data field separator.

INPUT FILE:       cpu_map.ncd
OUTPUT FILE:      cpu_pad.txt
PART TYPE:        xc3s500e
SPEED GRADE:      -4
PACKAGE:          pq208

Pinout by Pin Number:

+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|Pin Number|Signal Name  |Pin Usage|Pin Name                 |Direction|IO Standard|IO Bank Number|Drive (mA)|Slew Rate|Termination|IOB Delay|Voltage|Constraint|DCI Value|IO Register|Signal Integrity|
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|P1        |             |         |PROG_B                   |         |           |              |          |         |           |         |       |          |         |           |                |
|P2        |             |DIFFM    |IO_L01P_3                |UNUSED   |           |3             |          |         |           |         |       |          |         |           |                |
|P3        |             |DIFFS    |IO_L01N_3                |UNUSED   |           |3             |          |         |           |         |       |          |         |           |                |
|P4        |tempIR<0>    |IOB      |IO_L02P_3                |OUTPUT   |LVCMOS25   |3             |12        |SLOW     |NONE**     |         |       |LOCATED   |         |NO         |NONE            |
|P5        |tempIR<1>    |IOB      |IO_L02N_3/VREF_3         |OUTPUT   |LVCMOS25   |3             |12        |SLOW     |NONE**     |         |       |LOCATED   |         |NO         |NONE            |
|P6        |             |IBUF     |IP                       |UNUSED   |           |3             |          |         |           |         |       |          |         |           |                |
|P7        |             |         |VCCAUX                   |         |           |              |          |         |           |         |2.5    |          |         |           |                |
|P8        |tempIR<2>    |IOB      |IO_L03P_3                |OUTPUT   |LVCMOS25   |3             |12        |SLOW     |NONE**     |         |       |LOCATED   |         |NO         |NONE            |
|P9        |tempIR<3>    |IOB      |IO_L03N_3                |OUTPUT   |LVCMOS25   |3             |12        |SLOW     |NONE**     |         |       |LOCATED   |         |NO         |NONE            |
|P10       |             |         |GND                      |         |           |              |          |         |           |         |       |          |         |           |                |
|P11       |tempIR<4>    |IOB      |IO_L04P_3                |OUTPUT   |LVCMOS25   |3             |12        |SLOW     |NONE**     |         |       |LOCATED   |         |NO         |NONE            |
|P12       |tempIR<5>    |IOB      |IO_L04N_3                |OUTPUT   |LVCMOS25   |3             |12        |SLOW     |NONE**     |         |       |LOCATED   |         |NO         |NONE            |
|P13       |             |         |VCCINT                   |         |           |              |          |         |           |         |1.2    |          |         |           |                |
|P14       |             |IBUF     |IP                       |UNUSED   |           |3             |          |         |           |         |       |          |         |           |                |
|P15       |tempIR<6>    |IOB      |IO_L05P_3                |OUTPUT   |LVCMOS25   |3             |12        |SLOW     |NONE**     |         |       |LOCATED   |         |NO         |NONE            |
|P16       |tempIR<7>    |IOB      |IO_L05N_3                |OUTPUT   |LVCMOS25   |3             |12        |SLOW     |NONE**     |         |       |LOCATED   |         |NO         |NONE            |
|P17       |             |         |GND                      |         |           |              |          |         |           |         |       |          |         |           |                |
|P18       |tempIR<8>    |IOB      |IO_L06P_3                |OUTPUT   |LVCMOS25   |3             |12        |SLOW     |NONE**     |         |       |LOCATED   |         |NO         |NONE            |
|P19       |tempIR<9>    |IOB      |IO_L06N_3                |OUTPUT   |LVCMOS25   |3             |12        |SLOW     |NONE**     |         |       |LOCATED   |         |NO         |NONE            |
|P20       |             |IBUF     |IP/VREF_3                |UNUSED   |           |3             |          |         |           |         |       |          |         |           |                |
|P21       |             |         |VCCO_3                   |         |           |3             |          |         |           |         |2.50   |          |         |           |                |
|P22       |tempIR<10>   |IOB      |IO_L07P_3/LHCLK0         |OUTPUT   |LVCMOS25   |3             |12        |SLOW     |NONE**     |         |       |LOCATED   |         |NO         |NONE            |
|P23       |tempIR<11>   |IOB      |IO_L07N_3/LHCLK1         |OUTPUT   |LVCMOS25   |3             |12        |SLOW     |NONE**     |         |       |LOCATED   |         |NO         |NONE            |
|P24       |tempIR<12>   |IOB      |IO_L08P_3/LHCLK2         |OUTPUT   |LVCMOS25   |3             |12        |SLOW     |NONE**     |         |       |LOCATED   |         |NO         |NONE            |
|P25       |tempIR<13>   |IOB      |IO_L08N_3/LHCLK3/IRDY2   |OUTPUT   |LVCMOS25   |3             |12        |SLOW     |NONE**     |         |       |LOCATED   |         |NO         |NONE            |
|P26       |             |IBUF     |IP                       |UNUSED   |           |3             |          |         |           |         |       |          |         |           |                |
